"Feature","pvals","qvals","log.pvals","F.stat","den.df"
"ERCC-00002",2.80313206499535e-22,2.77009610405074e-23,-49.6261346592075,874.147484061093,21.3128309770922
"ERCC-00003",2.4498370201614e-25,3.20255638347815e-26,-56.6686058248903,1481.80377439366,21.3128309770922
"ERCC-00004",1.19435619435127e-32,4.00293163449406e-33,-73.5051156851005,5148.24279086188,21.3128309770922
"ERCC-00009",0.524899569237866,0.0199755995509703,-0.644548331379838,0.414831756703762,21.3128309770922
"ERCC-00013",4.84021658552739e-06,2.17440098181823e-07,-12.238551089161,32.1734341499535,21.3128309770922
"ERCC-00014",0.00019489952798949,8.3438308741616e-06,-8.54302637326236,18.4971301896089,21.3128309770922
"ERCC-00019",9.50436047415393e-19,7.27663281353587e-20,-41.497366076308,470.217119561033,21.3128309770922
"ERCC-00022",1.92106938243726e-21,1.77208313378223e-22,-47.7014049518661,755.769317049628,21.3128309770922
"ERCC-00025",0.604764049109123,0.0229199479603974,-0.502916898494172,0.274180806865171,21.3128309770922
"ERCC-00028",9.60942327520558e-12,5.18929614045663e-13,-25.3682769077331,126.127934429106,21.3128309770922
"ERCC-00031",0.426615090981714,0.0163079163219309,-0.851873098554831,0.651315568568392,21.3128309770922
"ERCC-00033",9.1588851004883e-06,4.07773065287884e-07,-11.6007861006065,29.5334109172986,21.3128309770922
"ERCC-00034",0.764111703098836,0.0287805032973447,-0.269041292258451,0.091868499294541,21.3128309770922
"ERCC-00035",0.189248079177714,0.00735525858327086,-1.6646965363715,1.81273973375606,21.3128309770922
"ERCC-00039",0.000493504110876687,2.08967614855883e-05,-7.61397936908149,15.6240544272985,21.3128309770922
"ERCC-00040",0.466179875002135,0.0177825670722184,-0.763183721475842,0.546197703516646,21.3128309770922
"ERCC-00041",0.0581643437713856,0.00230776970143631,-2.84448276196762,3.9102687074254,21.3128309770922
"ERCC-00042",0.0789125217573587,0.00311414845135591,-2.53941535957345,3.33167412895235,21.3128309770922
"ERCC-00043",5.76082690551256e-25,7.24598557946703e-26,-55.8135463004623,1390.26935384708,21.3128309770922
"ERCC-00044",1.76786072539492e-11,9.46429781212333e-13,-24.7586658370511,119.477799077125,21.3128309770922
"ERCC-00046",3.6360672759809e-25,4.6713844904589e-26,-56.2737246459621,1438.81886904511,21.3128309770922
"ERCC-00051",0.707513841282814,0.0267053538481183,-0.34599808600549,0.143748892795516,21.3128309770922
"ERCC-00053",0.86019473788776,0.0322725424825188,-0.150596475963744,0.031611662203847,21.3128309770922
"ERCC-00054",0.00110157321076126,4.61610328572044e-05,-6.8110159293266,13.3041964746778,21.3128309770922
"ERCC-00058",0.00126306835223549,5.28153097574076e-05,-6.67421131812687,12.923548171994,21.3128309770922
"ERCC-00059",5.14681970146758e-13,2.93012549950712e-14,-28.295227218695,162.543973033207,21.3128309770922
"ERCC-00060",0.129678243751915,0.00507480734745297,-2.04269894458354,2.44148242180761,21.3128309770922
"ERCC-00062",2.3007668039039e-22,2.28788684831339e-23,-49.8236295854953,887.264898506208,21.3128309770922
"ERCC-00067",0.136090631433053,0.00531988858939109,-1.99443420760105,2.35869788850153,21.3128309770922
